created_at,text
Apr 25,"['@___TurdFerguson', '@Wendys', '@budlight', '@zpaynter71', '@MillerLite', 'Fuck', 'Miller']"
Apr 25,"['I""m', 'at', '@Wendys', 'in', 'Buffalo', 'Grove,', 'IL', 'https://t.co/qY8qQGA41W']"
Apr 25,"['RT', '@NSULASciences:', 'We', 'want', 'our', 'students', 'to', 'get', 'their', 'points!', 'Let’s', 'get', 'the', 'follows', 'and', 'RTs', 'going!', 'I', 'wonder', 'if', 'a', 'few', 'people', 'can', 'help', 'out?', 'W…']"
Apr 25,"['RT', '@behindyourback:', 'learning', 'about', 'Pete', 'Buttigieg', 'has', 'been', 'like', 'getting', 'excited', 'by', 'a', 'great', 'teaser', 'trailer', 'for', 'a', 'cool', 'looking', 'movie', 'that', 'you…']"
Apr 25,"['RT', '@sayraahh_:', 'Bring', 'back', 'spicy', 'chicken', 'nuggets', '@Wendys']"
Apr 25,"['RT', '@itsdougthepug:', 'I', 'got', 'to', 'go', 'to', '@Wendys', 'for', 'take', 'ur', 'child', 'to', 'work', 'day.', 'They', 'even', 'let', 'me', 'send', 'a', 'couple', 'tweets!', '🍔', 'https://t.co/WtVmYYF6bP']"
Apr 25,"['RT', '@behindyourback:', 'learning', 'about', 'Pete', 'Buttigieg', 'has', 'been', 'like', 'getting', 'excited', 'by', 'a', 'great', 'teaser', 'trailer', 'for', 'a', 'cool', 'looking', 'movie', 'that', 'you…']"
Apr 25,"['@itsdougthepug', '@Wendys', 'Doug,', 'do', 'Mommy', '&amp;', 'Daddy', 'a', 'favor', '&amp;', 'avoid', 'the', 'chili!']"
Apr 25,"['@itsdougthepug', '@Wendys', 'Do', 'they', 'sell', 'hot', 'dogs']"
Apr 25,"['TF:', 'Gorillas', 'Set', 'to', 'Host', 'PSU/Wendy""s', 'Tune-Up', 'Meet', 'Friday', '@GorillasTrack', 'https://t.co/YTHEKDS8Iw']"
Apr 25,"['@Wendys', 'best', 'mcdonalds', 'sucks', 'rap']"
Apr 25,"['RT', '@Koreaboo:', 'BTS', 'V', 'Found', 'A', 'Girl’s', 'Earring', 'On', 'Stage…', 'Now', 'Fans', 'Want', 'The', 'Rest', 'Of', 'This', 'Cinderella', 'Story', 'https://t.co/2AlGi0e2qP']"
Apr 25,"['@Wendys', 'I', 'just', 'had', 'the', 'worst', 'customer', 'experience', 'from', 'one', 'of', 'your', 'restaurants', 'in', 'North', 'Carolina,', 'thanks']"
Apr 25,"['RT', '@Koreaboo:', 'BTS', 'V', 'Found', 'A', 'Girl’s', 'Earring', 'On', 'Stage…', 'Now', 'Fans', 'Want', 'The', 'Rest', 'Of', 'This', 'Cinderella', 'Story', 'https://t.co/2AlGi0e2qP']"
Apr 25,"['@Wendys', '😛😍🤤🤤']"
Apr 25,"['RT', '@itsdougthepug:', 'I', 'got', 'to', 'go', 'to', '@Wendys', 'for', 'take', 'ur', 'child', 'to', 'work', 'day.', 'They', 'even', 'let', 'me', 'send', 'a', 'couple', 'tweets!', '🍔', 'https://t.co/WtVmYYF6bP']"
Apr 25,"['RT', '@itsdougthepug:', 'I', 'got', 'to', 'go', 'to', '@Wendys', 'for', 'take', 'ur', 'child', 'to', 'work', 'day.', 'They', 'even', 'let', 'me', 'send', 'a', 'couple', 'tweets!', '🍔', 'https://t.co/WtVmYYF6bP']"
Apr 25,"['@Wendys', 'My', 'coworker', 'just', 'got', 'back', 'from', 'eating', 'lunch', 'at', 'Wendy’s.', 'He', 'brought', 'back', 'a', 'full', 'cup', 'of', 'Dr', 'Pepper', 'and', 'just', 'sp…', 'https://t.co/AePNWhaYuf']"
Apr 25,"['I', 'got', 'to', 'go', 'to', '@Wendys', 'for', 'take', 'ur', 'child', 'to', 'work', 'day.', 'They', 'even', 'let', 'me', 'send', 'a', 'couple', 'tweets!', '🍔', 'https://t.co/WtVmYYF6bP']"
Apr 25,"['@nick_ecsy', 'So', 'brave.']"
Apr 25,"['@Wendys_Garden', 'The', 'Onion""s', 'version', 'of', 'Joe', 'Biden', 'is', 'the', 'one', 'I', 'want', 'to', 'remember.', 'https://t.co/TPwTTUCr2B']"
Apr 25,"['sir', 'this', 'is', 'a', 'wendys', 'https://t.co/R5dnDCN181']"
Apr 25,"['@Wendys', 'bring', 'back', 'the', 'OLD', 'bbq', 'sauce', ',', 'this', 'new', 'one', 'is', 'disgusting', '🥴.', 'Thanks', '😘😘']"
Apr 25,"['@BurgerKing', '—', 'it’s', 'time', 'to', 'follow', '@McDonalds', '&amp;', '@Wendys', 'in', 'committing', 'to', 'phase', 'out', 'polluting', 'plastic', 'to-go', 'containers!🌍🐠🦚🌿']"
Apr 25,"['@Wendys', 'Wendy’s', 'is', 'my', 'happy', 'place']"
Apr 25,"['@0ctobers_Fin3st', '@ChickfilA', '@Wendys', 'I', 'think', 'I', 'want', 'a', 'salad', 'now', '😂']"
Apr 25,"['I', 'want', '@BurgerKing', 'to', 'follow', '@McDonalds', '&amp;', '@Wendys', 'in', 'committing', 'to', 'phase', 'out', 'polluting', 'plastic', 'to-go', 'containers!']"
Apr 25,"['@Wendys', 'Please', 'provide', 'vegan', 'options', 'such', 'as', 'burger', 'patties', 'from', '@BeyondMeat', 'and', '@ImpossibleFoods,', 'and', 'vegan', 'chik""n…', 'https://t.co/Kt38E9K7FS']"
Apr 25,"['@darianknight', '@atari', '@Perp_StudiosLLC', '@Wendys', 'Were', 'you', 'really', 'a', 'cook', 'at', 'Wendy’s.', 'Sounds', 'like', 'your', 'just', 'trying', 'to', 'pu…', 'https://t.co/gZmPEcCfzs']"
Apr 25,"['@Drewfox81', '@Wendys', '(It', 'doesn""t', 'look', 'like', 'that...)']"
Apr 25,"['RT', '@Wendys:', 'Talk', 'about', 'a', 'deal', 'of', 'a', 'meal.', 'With', 'a', 'Bacon', 'Double', 'Stack,', '4', 'piece', 'nuggets,', 'small', 'fries', 'and', 'drink', 'for', 'just', '$5,', 'the', 'Biggie', 'Bag', 'is', 't…']"
Apr 25,"['@zamesy596', '@trailsendcustom', '&amp;', 'I', 'just', 'had', 'this', 'conversation', 'Tuesday.', 'He’s', 'heartbroken.', '@Wendys']"
Apr 25,"['I', 'want', '@BurgerKing', 'to', 'follow', '@McDonalds', '&amp;', '@Wendys', 'in', 'committing', 'to', 'phase', 'out', 'polluting', 'plastic', 'to-go', 'containers!']"
Apr 25,"['I', 'could', 'be', 'giving', 'you', 'love', 'and', 'affection', 'pero', 'prefieres', 'kfc', 'y', 'wendys😂']"
Apr 25,"['RT', '@Koreaboo:', 'BTS', 'V', 'Found', 'A', 'Girl’s', 'Earring', 'On', 'Stage…', 'Now', 'Fans', 'Want', 'The', 'Rest', 'Of', 'This', 'Cinderella', 'Story', 'https://t.co/2AlGi0e2qP']"
Apr 25,"['@McDonalds', 'The', 'ability', 'to', 'drive', 'past', 'and', 'go', 'to', '@Wendys', '!']"
Apr 25,"['@Wendys', 'If', 'only', 'your', 'food', 'REALLY', 'looked', 'like', 'that.', 'Why', 'not', 'take', 'some', 'real-world', 'photos', 'for', 'advertising?']"
Apr 25,"['RT', '@limurdaa:', 'Yoooooo', '@Wendys', 'how', 'many', 'retweets', 'to', 'bring', 'the', 'spicy', 'nuggets', 'back?!?!?', 'https://t.co/tCuV1sjL56']"
Apr 25,"['RT', '@Wendys:', 'You', 'can’t', 'face', 'the', 'cold', 'fury', 'north', 'of', 'the', 'wall', 'this', 'Sunday', 'without', 'a', 'little', 'fire', 'in', 'your', 'belly.', 'Order', 'that', 'Spicy', 'Chicken', 'Sandwi…']"
Apr 25,"['5', 'Jobs', 'I""ve', 'Had:', '1.', 'Advisory', 'for', '@atari', '2.', 'VP', 'Operations', 'Pulse', 'Point', 'Media', '3.', 'CTO', 'VR5', 'Online', '4.', 'Executive', 'Direct…', 'https://t.co/iU8l9ZKcqK']"
Apr 25,"['#Piñata', '🎊', '#FIESTA', '🎻🎶', 'Estoy', 'tomando', 'pedidos.', 'No', 'pierdan', 'mas', 'tiempo', 'y', 'pregunten', 'por', 'sus', 'diseños', 'y', 'personajes', 'favorit…', 'https://t.co/J3Qe2iz3V3']"
Apr 25,"['RT', '@Wendys:', 'Talk', 'about', 'a', 'deal', 'of', 'a', 'meal.', 'With', 'a', 'Bacon', 'Double', 'Stack,', '4', 'piece', 'nuggets,', 'small', 'fries', 'and', 'drink', 'for', 'just', '$5,', 'the', 'Biggie', 'Bag', 'is', 't…']"
Apr 25,"['RT', '@Koreaboo:', 'BTS', 'V', 'Found', 'A', 'Girl’s', 'Earring', 'On', 'Stage…', 'Now', 'Fans', 'Want', 'The', 'Rest', 'Of', 'This', 'Cinderella', 'Story', 'https://t.co/2AlGi0e2qP']"
Apr 25,"['RT', '@_ermergerd:', 'When', 'are', 'you', 'bringing', 'back', 'SPICY', 'NUGGETS', '@Wendys']"
Apr 25,"['Damn', '@Wendys', 'ballin’', 'out', 'with', 'the', 'gold', 'now.', 'Move', 'over', '@BurgerKing', 'here', 'comes', 'the', 'burger', 'Queen', 'https://t.co/QaO4dIBmv8']"
Apr 25,"['After', 'this', 'salad', 'from', 'Wendys.', 'lol', 'https://t.co/xUfEkErOeF']"
Apr 25,"['@Wendys', 'please', 'bring', 'back', 'your', 'spicy', 'chicken', 'nuggets', '😋🔥']"
Apr 25,"['@alpdaddy3', '@Pawzosrs', 'first', 'of', 'all', 'im', 'dismantled', 'you', 'didnt', 'tag', 'me', 'as', 'well,', 'homeboy', 'got', 'it', 'all', 'wrong.', 'ceph', 'is', 'correct…', 'https://t.co/lqjopNrKKs']"
Apr 25,"['RT', '@behindyourback:', 'learning', 'about', 'Pete', 'Buttigieg', 'has', 'been', 'like', 'getting', 'excited', 'by', 'a', 'great', 'teaser', 'trailer', 'for', 'a', 'cool', 'looking', 'movie', 'that', 'you…']"
