created_at,text
Apr 25,"['Hiya,', 'I', 'demand', 'a', 'ten', 'set', 'of', 'crusty', 'tacos', 'please.', '@tacobell']"
Apr 25,"['New', 'Zealand', 'in', 'the', 'house!', '🇳🇿', 'Mega', 'thanx', '@DraxProject', 'for', 'the', '@92profm', 'visit!', 'Feel', 'free', 'to', 'add', '#WokeUpLate', 'the…', 'https://t.co/Z0541GKcs7']"
Apr 25,"['@thuggambino', '@tacobell']"
Apr 25,"['RT', '@OswegoCoNewsNow:', '“The', 'Suny', 'community', 'is', 'hungry', 'for', 'Taco', 'Bell”', '@BarlowforMayor', 'announces', 'construction', 'for', 'the', 'brand', 'new', '@tacobell', 'begins…']"
Apr 25,"['RT', '@TheLaneyMcCoy:', 'i’m', 'really', 'fed', 'up', 'with', '@tacobell', 'taking', 'nacho', 'fries', 'off', 'the', 'menu.', 'like', 'at', 'this', 'point', 'all', 'it', 'does', 'is', 'creates', 'unnecessary…']"
Apr 25,"['RT', '@lucasqknight:', 'y’all', 'missed', '@tacobell', 'https://t.co/QKfiWG9rO8']"
Apr 25,"['RT', '@little_lochness:', 'Told', 'my', 'girlfriend', '@tacobell', 'no', 'longer', 'sells', 'nacho', 'fries...', 'https://t.co/ci8BHUhU3L']"
Apr 25,"['@Frank_Konkel', '@virginia_tech', '@tacobell', 'https://t.co/sAY9ApDc2n']"
Apr 25,"['@tacobell_com', 'JENNY', 'LOOK', 'https://t.co/DN2HrFT9ic']"
Apr 25,"['...', 'so', '#firstfivejobs,', 'eh?', '1)', 'lawn', 'mower', '2)', '@tacobell', '(mall', 'food', 'court', 'drama,', 'live', 'más!)', '3)', 'mexican', 'restaurant', 'wai…', 'https://t.co/f7CZPTfuFB']"
Apr 25,"['RT', '@ALoadOfPureBS:', 'We', 'wanna', '#LiveMas', 'please', '@tacobell', 'gods', 'bless', 'us', 'https://t.co/WW2uiFZwd3']"
Apr 25,"['@tacobell', 'love', 'that', 'zero', 'sugar', 'Baja', 'blast', 'https://t.co/3Z699eVMCo']"
Apr 25,"['RT', '@Geko92084961:', 'https://t.co/pTrNW7Zhpj', 'follow', 'my', 'homie', 'for', 'the', 'coolest', 'content', '@BarackObama', '@POTUS', '@tacobell', '@FBI', '@kfc', '@JFKLibrary', '@elon…']"
Apr 25,"['So', 'when', 'did', '@tacobell', 'start', 'charging', 'extra', 'from', 'switching', 'from', 'beef', 'to', 'refried', 'beans?', 'Just', 'had', 'a', 'terrible', 'experience', 'at', 'my', 'local', 'Taco.', '🤦🏼\u200d♀️']"
Apr 25,"['RT', '@ALoadOfPureBS:', 'We', 'wanna', '#LiveMas', 'please', '@tacobell', 'gods', 'bless', 'us', 'https://t.co/WW2uiFZwd3']"
Apr 25,"['We', 'wanna', '#LiveMas', 'please', '@tacobell', 'gods', 'bless', 'us', 'https://t.co/WW2uiFZwd3']"
Apr 25,"['@tacobell', 'lemme', 'get', 'a', 'TB', 'tux', 'for', 'prom‼️', 'or', 'at', 'some', 'suspenders', 'pls']"
Apr 25,"['RT', '@my_humies:', 'If', 'beliefs', 'are', 'a', 'function', 'of', 'sensory', 'input', 'over', 'time,', '@tacobell', 'is', 'a', 'cult', 'and', 'the', 'Doritos', 'Locos', 'Tacos', 'Supreme', 'is', 'the', 'God', 'par…']"
Apr 25,"['Yo', '@tacobell', 'you', 'willing', 'to', 'sponsor', 'our', 'live', 'show', 'in', 'Vegas?', 'And', 'by', 'sponsor,', 'I', 'mean', 'give', 'us', '3', 'free', 'Baja', 'Blasts?…', 'https://t.co/wHke9IlJxw']"
Apr 25,"['RT', '@_BG_Gomes:', 'Just', 'left', '.@tacobell', '&amp;', 'I’m', 'feeling', 'Tacorific', '🌮']"
Apr 25,"['RT', '@iHeartRadio:', 'RT', 'to', 'vote', 'for', '#Beliebers', 'for', '@tacobell', '#BestFanArmy!', '#iHeartAwards', '|', '@justinbieber', 'https://t.co/n4AuNOKp2l']"
