created_at,text
Apr 25,"['@janelledarlene', '@AnabaptistRev', '@derryprenkert', '@ronald_long', '@joshuagriffin', '@curtishoneycutt', '@AWSmith51', '@ctjensen…', 'https://t.co/xLPHq08XLR']"
Apr 25,"['@AnabaptistRev', '@derryprenkert', '@ronald_long', '@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen…', 'https://t.co/Os9GpaetGC']"
Apr 25,"['@derryprenkert', '@ronald_long', '@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen', '@barryrod…', 'https://t.co/HTVsQ5aqSz']"
Apr 25,"['@derryprenkert', '@ronald_long', '@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen', '@barryrod…', 'https://t.co/Je0ojJ5LSs']"
Apr 25,"['@anonyx10', '@LeilaniMunter', '@GerberKawasaki', '@BeyondMeat', '@TGIFridays', '@CarlsJr', '@AWRootBeer', '@DelTaco', '@yankeestadium', 'You', 's…', 'https://t.co/GwgAz2M73G']"
Apr 25,"['@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen', '@barryrod', '@ByNateTaylor', '@jrchristianson…', 'https://t.co/M4jFf3b9Zh']"
Apr 25,"['RT', '@NemesisRisingTV:', '@Splenda', '@BurgerKing', '@McDonalds', '@CarlsJr', '@Hardees', 'Attention', '#Bitcoin', 'Owners', 'and', '#Banks', 'How""s', 'it', 'feel', 'to', 'have', 'No', 'Value…']"
Apr 25,"['RT', '@NemesisRisingTV:', '#VIBRATIONS', 'for', '#DONATIONS', 'Why', 'Lie', 'I', 'need', 'a', '#Burger', '&amp;', 'a', 'Diet', '#Soda', 'cause', 'they', 'Don""t', 'make', 'My', '#SugarFreeMilkshake', '#Billi…']"
Apr 25,"['@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen', '@barryrod', '@ByNateTaylor', '@jrchristianson…', 'https://t.co/rGKF2a632v']"
Apr 25,"['@ronald_long', '@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen', '@barryrod', '@ByNateTaylor…', 'https://t.co/vCuIjNt8Y5']"
Apr 25,"['@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen', '@barryrod', '@ByNateTaylor', '@jrchristianson…', 'https://t.co/FYy6w6SaCI']"
Apr 25,"['RT', '@CarlsJrID:', 'Are', 'you', 'Tony,', 'Peter,', 'Bruce,', 'Steve,', 'Natalia,', 'Carol', 'or', 'Edwin?', 'If', 'yes', 'visit', 'us', 'now', 'and', 'show', 'your', 'valid', 'ID', 'Card', 'to', 'enjoy', 'Hawaiia…']"
Apr 25,"['@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen', '@barryrod', '@ByNateTaylor', '@jrchristianson', '@jared_grillo', '@MrKinetik…', 'https://t.co/ktPq8sfUB0']"
Apr 25,"['RT', '@CarlsJrID:', 'Are', 'you', 'Tony,', 'Peter,', 'Bruce,', 'Steve,', 'Natalia,', 'Carol', 'or', 'Edwin?', 'If', 'yes', 'visit', 'us', 'now', 'and', 'show', 'your', 'valid', 'ID', 'Card', 'to', 'enjoy', 'Hawaiia…']"
Apr 25,"['I', 'was', 'in', 'Vegas', 'last', 'weekend', 'and', 'visited', 'Planet', '13', 'cannabis', 'emporium.', 'Truly', 'an', 'emporium!', 'Now', 'I', 'find', 'out', '@CarlsJr', 'tes…', 'https://t.co/8BwihByaPN']"
Apr 25,"['RT', '@CarlsJrID:', 'Are', 'you', 'Tony,', 'Peter,', 'Bruce,', 'Steve,', 'Natalia,', 'Carol', 'or', 'Edwin?', 'If', 'yes', 'visit', 'us', 'now', 'and', 'show', 'your', 'valid', 'ID', 'Card', 'to', 'enjoy', 'Hawaiia…']"
Apr 25,"['RT', '@CarlsJrID:', 'Are', 'you', 'Tony,', 'Peter,', 'Bruce,', 'Steve,', 'Natalia,', 'Carol', 'or', 'Edwin?', 'If', 'yes', 'visit', 'us', 'now', 'and', 'show', 'your', 'valid', 'ID', 'Card', 'to', 'enjoy', 'Hawaiia…']"
Apr 25,"['RT', '@CarlsJrID:', 'Are', 'you', 'Tony,', 'Peter,', 'Bruce,', 'Steve,', 'Natalia,', 'Carol', 'or', 'Edwin?', 'If', 'yes', 'visit', 'us', 'now', 'and', 'show', 'your', 'valid', 'ID', 'Card', 'to', 'enjoy', 'Hawaiia…']"
Apr 25,"['I""m', 'at', '@CarlsJr.', 'in', 'Brigham', 'City,', 'UT', 'https://t.co/hpSyAskSt3']"
Apr 25,"['@antoekneestark', '@CarlsJrID', 'Aaa', 'i', 'see..', 'They', 'went', 'full', 'on', 'comics..', 'Nice...', 'Sorry', 'CarlsJr..', 'I', 'didn""t', 'do', 'my', 'homework', '#korg']"
Apr 25,"['いよいよ‼️OPA2Fに‼️', '""カールスジュニア""がやってくる🇺🇸🗽是非是非⤴️味見⁉️にいらしてみて下さい⤴️やみつきになってしまうかも🔥', '#blackanny', '#fujisawa', '#opa', '#fujisawaopa…', 'https://t.co/64cRgnTAzl']"
Apr 25,"['Certain', '@CarlsJr', 'locations', 'are', 'removing', 'the', '@BeyondMeat', 'burger', 'from', 'their', 'menus.', 'And', 'I', 'would', 'just', 'like', 'to', 'say', 'that', 'really', 'sucks', 'ass.']"
Apr 25,"['RT', '@Cfish801:', '@BWWings', 'Your', 'food', 'and', 'service', 'is', 'worst', 'than', '@CarlsJr', '..', 'but', 'they""re', 'fast', 'food..', 'do', 'better!!']"
